Title,Description,URL,Access note,Subjects,Resource type,Access model,Provider
Papers of the Nixon administration dataset : the President's confidential and subject special files,"Linguistic dataset related to Papers of the Nixon administration dataset : the President's confidential and subject special files. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624148,Hosted text data available by request through Yale Library.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
"Patriotes aux armes! dataset : (Patriots to arms!) : the underground resistance in France, Belgium, Holland, and Italy","Text corpus dataset for computational analysis of Patriotes aux armes! dataset : (Patriots to arms!) : the underground resistance in France, Belgium, Holland, and Italy. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624149,Hosted text data available by request through Yale Library.,Humanities & History,Text Corpus,Hosted by Yale Library,Yale Library
Personal justice denied dataset : public hearings of the Commission on Wartime Relocation and Internment,"Text corpus dataset for computational analysis of Personal justice denied dataset : public hearings of the Commission on Wartime Relocation and Internment. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624150,Hosted text data available by request through Yale Library.,Humanities & History,Text Corpus,Hosted by Yale Library,Yale Library
Philadelphia inquirer dataset,"Text corpus dataset for computational analysis of Philadelphia inquirer dataset. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624151,Hosted text data available by request through Yale Library.,Humanities & History,Text Corpus,Hosted by Yale Library,Yale Library
Phyllis Lyon and Del Martin dataset : beyond the Daughters of Bilitis,"Text corpus dataset for computational analysis of Phyllis Lyon and Del Martin dataset : beyond the Daughters of Bilitis. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624152,Hosted text data available by request through Yale Library.,Humanities & History,Text Corpus,Hosted by Yale Library,Yale Library
Picture post historical archive dataset,"Text corpus dataset for computational analysis of Picture post historical archive dataset. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624153,Hosted text data available by request through Yale Library.,Humanities & History; News & Media,Text Corpus,Hosted by Yale Library,Yale Library
Pittsburgh post-gazette dataset,"Text corpus dataset for computational analysis of Pittsburgh post-gazette dataset. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624154,Hosted text data available by request through Yale Library.,Humanities & History; News & Media,Text Corpus,Hosted by Yale Library,Yale Library
Policing the Shanghai International Settlement dataset,"Text corpus dataset for computational analysis of Policing the Shanghai International Settlement dataset. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624155,Hosted text data available by request through Yale Library.,Humanities & History,Text Corpus,Hosted by Yale Library,Yale Library
Political relations and conflict between republican China and imperial Japan dataset : records of the U.S. State Department,"Text corpus dataset for computational analysis of Political relations and conflict between republican China and imperial Japan dataset : records of the U.S. State Department. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624156,Hosted text data available by request through Yale Library.,Humanities & History; Government & Public Policy,Text Corpus,Hosted by Yale Library,Yale Library
"Political, economic, and military conditions in China dataset : reports and correspondence of the U.S. Military Intelligence Division","Text corpus dataset for computational analysis of Political, economic, and military conditions in China dataset : reports and correspondence of the U.S. Military Intelligence Division. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624157,Hosted text data available by request through Yale Library.,Humanities & History; Business & Economics,Text Corpus,Hosted by Yale Library,Yale Library
"Post-war Europe dataset : refugees, exile and resettlement","Text corpus dataset for computational analysis of Post-war Europe dataset : refugees, exile and resettlement. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624158,Hosted text data available by request through Yale Library.,Humanities & History; News & Media; Social Sciences,Text Corpus,Hosted by Yale Library,Yale Library
Price control in the courts dataset : the U.S. Emergency Court of Appeals,"Text corpus dataset for computational analysis of Price control in the courts dataset : the U.S. Emergency Court of Appeals. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624159,Hosted text data available by request through Yale Library.,Humanities & History; Government & Public Policy,Text Corpus,Hosted by Yale Library,Yale Library
Psychological warfare and propaganda in World War II dataset : air dropped and shelled leaflets and periodicals,"Text corpus dataset for computational analysis of Psychological warfare and propaganda in World War II dataset : air dropped and shelled leaflets and periodicals. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624160,Hosted text data available by request through Yale Library.,Humanities & History,Text Corpus,Hosted by Yale Library,Yale Library
Records of the National Council for United States-China Trade dataset,"Text corpus dataset for computational analysis of Records of the National Council for United States-China Trade dataset. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624161,Hosted text data available by request through Yale Library.,Humanities & History; Business & Economics,Text Corpus,Hosted by Yale Library,Yale Library
Records of the Persian Gulf War dataset,"Linguistic dataset related to Records of the Persian Gulf War dataset. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624162,Hosted text data available by request through Yale Library.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
Republic of New Afrika dataset,"Text corpus dataset for computational analysis of Republic of New Afrika dataset. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624163,Hosted text data available by request through Yale Library.,Humanities & History,Text Corpus,Hosted by Yale Library,Yale Library
"Revolution in Mexico, the 1917 Constitution, and its aftermath dataset : records of the U.S. State Department","Text corpus dataset for computational analysis of Revolution in Mexico, the 1917 Constitution, and its aftermath dataset : records of the U.S. State Department. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624164,Hosted text data available by request through Yale Library.,Humanities & History; Government & Public Policy,Text Corpus,Hosted by Yale Library,Yale Library
Revolution of the king and the people in Morocco dataset : records of the U.S. State Department classified files,"Text corpus dataset for computational analysis of Revolution of the king and the people in Morocco dataset : records of the U.S. State Department classified files. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624165,Hosted text data available by request through Yale Library.,Humanities & History; Government & Public Policy,Text Corpus,Hosted by Yale Library,Yale Library
Sabin Americana dataset,"Text corpus dataset for computational analysis of Sabin Americana dataset. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624166,Hosted text data available by request through Yale Library.,Humanities & History,Text Corpus,Hosted by Yale Library,Yale Library
SAFEHAVEN reports on Nazi looting of occupied countries and assets in neutral countries dataset,"Text corpus dataset for computational analysis of SAFEHAVEN reports on Nazi looting of occupied countries and assets in neutral countries dataset. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624167,Hosted text data available by request through Yale Library.,Humanities & History,Text Corpus,Hosted by Yale Library,Yale Library
San Francisco chronicle dataset,"Text corpus dataset for computational analysis of San Francisco chronicle dataset. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624168,Hosted text data available by request through Yale Library.,Humanities & History; News & Media,Text Corpus,Hosted by Yale Library,Yale Library
Savings and loan crisis dataset : loss of public trust and the federal bailout,"Text corpus dataset for computational analysis of Savings and loan crisis dataset : loss of public trust and the federal bailout. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624169,Hosted text data available by request through Yale Library.,Humanities & History,Text Corpus,Hosted by Yale Library,Yale Library
Slavery & anti-slavery dataset : a transnational archive,"Text corpus dataset for computational analysis of Slavery & anti-slavery dataset : a transnational archive. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624170,Hosted text data available by request through Yale Library.,Humanities & History; Social Sciences,Text Corpus,Hosted by Yale Library,Yale Library
Socialism and National Unity in Yugoslavia dataset : records of the U.S. State Department classified files,"Text corpus dataset for computational analysis of Socialism and National Unity in Yugoslavia dataset : records of the U.S. State Department classified files. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624174,Hosted text data available by request through Yale Library.,Humanities & History; Government & Public Policy,Text Corpus,Hosted by Yale Library,Yale Library
Southern literary messenger dataset : literature of the old South,"Text corpus dataset for computational analysis of Southern literary messenger dataset : literature of the old South. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624175,Hosted text data available by request through Yale Library.,Humanities & History,Text Corpus,Hosted by Yale Library,Yale Library
St. Louis post-dispatch dataset,"Text corpus dataset for computational analysis of St. Louis post-dispatch dataset. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624176,Hosted text data available by request through Yale Library.,Humanities & History; News & Media,Text Corpus,Hosted by Yale Library,Yale Library
State papers online dataset : early modern government in Britain and Europe,"Text corpus dataset for computational analysis of State papers online dataset : early modern government in Britain and Europe. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624177,Hosted text data available by request through Yale Library.,Humanities & History; Government & Public Policy,Text Corpus,Hosted by Yale Library,Yale Library
Sunday times digital archive dataset,"Text corpus dataset for computational analysis of Sunday times digital archive dataset. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624178,Hosted text data available by request through Yale Library.,Humanities & History; News & Media,Text Corpus,Hosted by Yale Library,Yale Library
"Testaments to the Holocaust dataset : documents and rare printed materials from the Wiener Library, London","Text corpus dataset for computational analysis of Testaments to the Holocaust dataset : documents and rare printed materials from the Wiener Library, London. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624179,Hosted text data available by request through Yale Library.,Humanities & History,Text Corpus,Hosted by Yale Library,Yale Library
Tiananmen Square and U.S.-China relations dataset,"Text corpus dataset for computational analysis of Tiananmen Square and U.S.-China relations dataset. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624180,Hosted text data available by request through Yale Library.,Humanities & History,Text Corpus,Hosted by Yale Library,Yale Library
Times digital archive dataset,"Text corpus dataset for computational analysis of Times digital archive dataset. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624181,Hosted text data available by request through Yale Library.,Humanities & History; News & Media,Text Corpus,Hosted by Yale Library,Yale Library
TLS historical archive dataset,"Text corpus dataset for computational analysis of TLS historical archive dataset. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624182,Hosted text data available by request through Yale Library.,Humanities & History,Text Corpus,Hosted by Yale Library,Yale Library
U.S. and Iraqi relations dataset : U.S. technical aid,"Text corpus dataset for computational analysis of U.S. and Iraqi relations dataset : U.S. technical aid. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624183,Hosted text data available by request through Yale Library.,Humanities & History,Text Corpus,Hosted by Yale Library,Yale Library
U.S. civilian advisory effort in Vietnam dataset : U.S. Operations Mission,"Text corpus dataset for computational analysis of U.S. civilian advisory effort in Vietnam dataset : U.S. Operations Mission. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624184,Hosted text data available by request through Yale Library.,Humanities & History,Text Corpus,Hosted by Yale Library,Yale Library
U.S. declassified documents online dataset,"Text corpus dataset for computational analysis of U.S. declassified documents online dataset. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624185,Hosted text data available by request through Yale Library.,Humanities & History,Text Corpus,Hosted by Yale Library,Yale Library
U.S. Middle East peace policy and America's role in the Middle East peace process dataset,"Text corpus dataset for computational analysis of U.S. Middle East peace policy and America's role in the Middle East peace process dataset. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624186,Hosted text data available by request through Yale Library.,Humanities & History; Government & Public Policy,Text Corpus,Hosted by Yale Library,Yale Library
U.S. relations with the Vatican and the Holocaust dataset,"Text corpus dataset for computational analysis of U.S. relations with the Vatican and the Holocaust dataset. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624187,Hosted text data available by request through Yale Library.,Humanities & History,Text Corpus,Hosted by Yale Library,Yale Library
Vogue archive dataset,"Text corpus dataset for computational analysis of Vogue archive dataset. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624188,Hosted text data available by request through Yale Library.,Humanities & History,Text Corpus,Hosted by Yale Library,Yale Library
Wall Street journal dataset,"Text corpus dataset for computational analysis of Wall Street journal dataset. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624189,Hosted text data available by request through Yale Library.,Humanities & History; News & Media,Text Corpus,Hosted by Yale Library,Yale Library
War Department and Indian affairs dataset,"Text corpus dataset for computational analysis of War Department and Indian affairs dataset. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624190,Hosted text data available by request through Yale Library.,Humanities & History; Government & Public Policy,Text Corpus,Hosted by Yale Library,Yale Library
War of 1812 dataset : diplomacy on the high seas,"Text corpus dataset for computational analysis of War of 1812 dataset : diplomacy on the high seas. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624191,Hosted text data available by request through Yale Library.,Humanities & History,Text Corpus,Hosted by Yale Library,Yale Library
Washington post dataset,"Text corpus dataset for computational analysis of Washington post dataset. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624192,Hosted text data available by request through Yale Library.,Humanities & History; News & Media,Text Corpus,Hosted by Yale Library,Yale Library
Witchcraft in Europe and America dataset,"Text corpus dataset for computational analysis of Witchcraft in Europe and America dataset. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624193,Hosted text data available by request through Yale Library.,Humanities & History,Text Corpus,Hosted by Yale Library,Yale Library
Women organizing transnationally dataset : the Committee of Correspondence,"Text corpus dataset for computational analysis of Women organizing transnationally dataset : the Committee of Correspondence. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624194,Hosted text data available by request through Yale Library.,Humanities & History; Social Sciences,Text Corpus,Hosted by Yale Library,Yale Library
"Women, war and society dataset","Text corpus dataset for computational analysis of Women, war and society dataset. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624195,Hosted text data available by request through Yale Library.,Humanities & History; Social Sciences,Text Corpus,Hosted by Yale Library,Yale Library
Women's issues and their advocacy within the White House dataset,"Text corpus dataset for computational analysis of Women's issues and their advocacy within the White House dataset. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624196,Hosted text data available by request through Yale Library.,Humanities & History; Social Sciences,Text Corpus,Hosted by Yale Library,Yale Library
Women's magazine archive dataset,"Text corpus dataset for computational analysis of Women's magazine archive dataset. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624197,Hosted text data available by request through Yale Library.,Humanities & History; News & Media; Social Sciences,Text Corpus,Hosted by Yale Library,Yale Library
Women's wear daily archive dataset,"Text corpus dataset for computational analysis of Women's wear daily archive dataset. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624199,Hosted text data available by request through Yale Library.,Humanities & History; Social Sciences,Text Corpus,Hosted by Yale Library,Yale Library
World scholar dataset.,"Text corpus dataset for computational analysis of World scholar dataset. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624200,Hosted text data available by request through Yale Library.,Humanities & History,Text Corpus,Hosted by Yale Library,Yale Library
"World War II dataset : U.S. documents on planning, operations, intelligence, Axis war crimes, and refugees","Text corpus dataset for computational analysis of World War II dataset : U.S. documents on planning, operations, intelligence, Axis war crimes, and refugees. Hosted by Yale Library for text and data mining, digital scholarship, and related research workflows.",https://forms.office.com/Pages/ResponsePage.aspx?id=u76M3Tkh-E20EU4-h6vrXMjNfnD4mMpOg7eh3akk4SdUQjk5TVAwQ1YyTVRFVU9VV0lSWENQTEU4MS4u&r3669c7a6738b42b7ad425f7a462c04d7=14624201,Hosted text data available by request through Yale Library.,Humanities & History; Social Sciences,Text Corpus,Hosted by Yale Library,Yale Library
