Title,Description,URL,Access note,Subjects,Access model,Provider
Social Science Research Network (SSRN),"Repository of working papers, accepted papers, and abstracts across social science disciplines. Supports discovery of current research in accounting, economics, finance, marketing, and law.",http://hdl.handle.net/10079/yuldb/yuldb1208,,Business & Economics; Social Sciences; News & Media,Open access,
Sports Business Research Network (SBRnet),"Sports market research platform with consumer, industry, participation, sponsorship, and expenditure data. Supports sports business, marketing, and consumer behavior research.",https://yale.idm.oclc.org/login?url=https://sportsmarketanalytics.com,,Business & Economics; News & Media,External platform,
STAT+,"News and analysis platform covering biotechnology, pharmaceuticals, clinical trials, health policy, and healthcare business. Supports research on biomedical innovation and health industry trends.",https://library.yale.edu/eresources/access/access-stat-plus,Requires users to register for an individual account with a Yale email address.,Health & Medicine; Business & Economics; Government & Public Policy,External platform,
Statista,"Statistics portal aggregating data, charts, infographics, dossiers, and reports from thousands of sources. Supports quick fact-finding, market research, and data visualization.",https://www.statista.com/login/campus/,,Business & Economics,External platform,Statista
Sustainable Views,"Financial Times publication covering sustainable finance, ESG policy, regulation, and market trends. Supports research on sustainability, investment, and corporate responsibility.",https://search.library.yale.edu/catalog/17660885,Requires users to request an individual account with a Yale email address.,Energy & Environment; Business & Economics; Government & Public Policy,External platform,
The Block Pro,"Research and data platform covering digital assets, cryptocurrency markets, blockchain companies, and industry trends. Supports research on crypto, fintech, and decentralized finance.",https://web.library.yale.edu/access-block-research?_ga=2.30752639.1512418643.1662507458-1442532518.1662507458,Requires users to register for an account with a valid Yale email address.,Business & Economics; Technology & Innovation,External platform,
The Economist,"Current and archival magazine source covering world affairs, economics, business, politics, science, and culture. Supports current awareness and international policy research.",https://yale.idm.oclc.org/login?URL=https://yale.idm.oclc.org/login?URL=https://web.library.yale.edu/economist,Requires users to register for an individual account with a Yale email address for access.,Business & Economics; Government & Public Policy; News & Media,External platform,
The Information,"Technology business news source with reporting on companies, startups, platforms, venture capital, and digital markets. Supports research on technology industries and strategy.",https://library.yale.edu/eresources/access/access-theinformation,Requires users to register for an individual account with a Yale email address. Please note: The Information Pro content is not included with academic or university subscriptions.,Business & Economics; News & Media; Technology & Innovation,External platform,
UN Comtrade Premium,"International trade database providing detailed commodity and partner-country statistics reported by national authorities. Supports trade, supply chain, and economic research.",https://library.yale.edu/eresources/access/access-un-comtrade,,Business & Economics,Open access,United Nations
UNdata,"United Nations statistical portal combining data from multiple UN databases. Supports cross-national research on demographics, economics, development, environment, and society.",http://data.un.org/Default.aspx,,Energy & Environment; Business & Economics; Social Sciences,Open access,United Nations
Vault,"Career research platform with employer profiles, industry guides, rankings, interview advice, and job search resources. Supports career exploration and labor market research.",https://yale.firsthand.co/,"Current students, faculty, and staff can log in to Vault with their NetID.",Business & Economics; Social Sciences,External platform,
VitalLaw - Blue Chip Publications,"Economic forecasting resource providing Blue Chip consensus forecasts and archived indicators in Excel and PDF formats. Supports macroeconomic, financial, and forecasting research.",https://library.yale.edu/eresources/access/access-blue-chip-economic-indicators?app=yalesites,Requires users to register for an account with a Yale email address for access.,Business & Economics; Humanities & History,External platform,
Wall Street Journal Online,"Digital newspaper covering business, finance, markets, politics, technology, and global news. Supports current awareness and business news research.",https://web.library.yale.edu/access-wall-street-journal,,Business & Economics; Government & Public Policy; News & Media,External platform,
WARC,"Advertising and marketing intelligence platform with case studies, best practices, brand insights, and industry analysis. Supports marketing strategy, media, and consumer research.",https://yale.idm.oclc.org/login?url=https://www.warc.com,,Business & Economics; News & Media,External platform,
Web of Science,"Multidisciplinary citation index covering journals, conference proceedings, data sets, and scholarly resources. Supports literature review, citation analysis, and research impact assessment.",https://hdl.handle.net/10079/yuldb/yuldb1332,,Humanities & History,External platform,
World Development Indicators,"World Bank database of global development indicators compiled from official country, regional, and international sources. Supports development economics and comparative policy research.",http://hdl.handle.net/10079/yuldb/yuldb1387,,Business & Economics; Government & Public Policy,Open access,World Bank
WRDS - Wharton Research Data Service,"Research platform providing access to licensed business, finance, economics, accounting, banking, labor market, and ESG datasets. Includes resources such as CRSP, Compustat, Audit Analytics,  Revelio, Bank Regulatory Data, S&P ESG Scores, and many others.",https://wrds-www.wharton.upenn.edu/,,Business & Economics; Social Sciences,External platform,WRDS
ProQuest TDM Studio,"Text and data mining platform providing access to licensed scholarly and news content for computational analysis, corpus building, and digital scholarship. Supports text analysis, visualization, and large-scale research using published content.",https://library.yale.edu/eresources/access/access-tdm-studio,,Humanities & History; Social Sciences,External platform,
Yale Data Green,Yale Data Green contains a collection of datasets made available by various groups across the university for cloud-based querying and analysis and is powered by Redivis.,https://yale.redivis.com,,Social Sciences; Business & Economics,Locally hosted at Yale,
Gale Digital Scholar Lab,"Text analysis and digital humanities platform for building and exploring text corpora from Gale primary source collections and uploaded content. Supports topic modeling, sentiment analysis, named entity recognition, visualization, and other computational research methods.",https://yale.idm.oclc.org/login?url=https://link.gale.com/apps/DSLAB?u=29002,,Humanities & History; Social Sciences,External platform,
